bestseller,brand,product_name,item_no,5_star,4_star,3_star,2_star,1_star,price,oz_at_price,options,sex,type,loves,reviews,dominant_color,floral,fresh ,warm,spicy|spice,earthy,woody|wood,musk|musky,vanilla,fruit|fruity,sweet,oil,rose
True,tom ford,tobacco vanille,1449289,62,8,8,2,2,235.0,1.7,"['standard size', 'mini size']",unisex,eau de parfum,10000,82,"(201, 158, 70)",0,0,1,1,0,1,1,1,1,1,0,0
True,chanel,bleu de chanel eau de parfum,1695972,78,3,0,0,0,95.0,1.7,['standard size'],men,eau de parfum spray,8317,81,"(59, 64, 70)",0,1,1,0,1,1,0,1,0,0,0,0
False,dior,sauvage eau de toilette,1739317,248,22,5,2,9,77.0,2.0,['standard size'],men,eau de toilette spray,10000,286,"(56, 59, 65)",0,1,0,0,0,1,0,0,0,0,0,0
True,maison margiela,’replica’ by the fireplace,1788058,326,46,19,14,38,126.0,3.4,"['standard size', 'mini size']",unisex,eau de toilette spray,10000,443,"(230, 224, 216)",0,0,1,1,0,1,0,1,0,1,1,0
False,tom ford,oud wood,1565928,36,10,3,3,3,605.0,8.4,"['standard size', 'mini size']",unisex,eau de parfum decanter,7320,55,"(115, 112, 102)",0,0,1,0,0,1,0,1,0,0,0,1
True,jo malone london,wood sage & sea salt cologne,1946656,73,24,16,10,5,136.0,3.4,['standard size'],unisex,spray,10000,128,"(225, 224, 221)",0,1,0,0,0,1,0,0,0,0,0,0
False,giorgio armani beauty,acqua di gio pour homme,397299,575,53,8,2,11,85.0,3.4,"['standard size', 'value size']",men,eau de toilette spray,10000,648,"(225, 226, 214)",0,0,0,0,0,1,0,0,1,0,0,1
True,chanel,bleu de chanel eau de toilette,1284710,48,3,2,0,0,75.0,1.7,"['standard size', 'value size']",men,eau de toilette spray,7520,53,"(40, 45, 51)",0,0,1,0,1,1,0,0,1,0,1,0
True,versace,eros,1558857,217,21,7,3,3,118.0,6.7,"['standard size', 'mini size', 'value size']",men,eau de toilette spray,10000,251,"(15, 68, 76)",0,1,0,0,0,1,0,1,0,0,1,0
True,dior,sauvage eau de parfum,2038123,13,0,2,1,0,92.0,2.0,['standard size'],men,eau de parfum spray,1552,16,"(34, 38, 50)",0,0,0,1,1,1,0,1,0,0,0,0
False,maison margiela,’replica’ jazz club,1602259,244,43,9,11,4,126.0,3.4,"['standard size', 'mini size']",unisex,eau de toilette spray,10000,309,"(209, 206, 202)",0,0,1,1,0,1,0,0,0,1,1,0
False,tom ford,ombre leather,2101319,14,2,0,0,1,125.0,1.7,['standard size'],men,eau de parfum spray,1273,15,"(43, 43, 43)",1,0,1,1,0,1,0,0,0,0,0,0
False,atelier cologne,vanille insensée cologne absolue pure perfume,1499177,204,40,15,17,32,140.0,3.3,"['standard size', 'mini size', 'value size']",men,cologne absolue pure perfume  spray,10000,306,"(231, 230, 219)",0,1,0,1,0,1,0,1,0,1,0,0
False,yves saint laurent,"""l'homme""",987917,726,71,11,4,3,72.0,2.0,"['standard size', 'value size']",men,eau de toilette spray,10000,815,"(216, 215, 194)",0,0,0,0,0,1,0,0,0,0,0,0
False,bvlgari,eau parfumée au thé blanc,666107,152,21,11,1,3,72.0,1.33,['standard size'],unisex,eau de cologne spray,7633,188,"(210, 207, 206)",0,0,0,0,1,1,1,0,0,0,0,0
