brand_info,item_no_or_size,ratings,feedback,price,oz_at_price,options,fragrance_info,limited_edition,image_url,url,image_filename,dominant_color
"['TOM FORD', 'Tobacco Vanille']","['ITEM ', '1449289']","[['5 stars', '62', '4 stars', '8', '3 stars', '8', '2 stars', '2', '1 star', '2']]","[['82 reviews'], ['10K', ' loves']]",['$235.00'],['1.7 oz/ 50 mL Eau de Parfum '],"['Standard size', '1.0 oz/ 30 mL Eau de Parfum Spray', '1.7 oz/ 50 mL Eau de Parfum ', '3.4 oz/ 100 mL Eau de Parfum ', '8.4 oz/ 248 mL Eau de Parfum Decanter', 'Mini size', '0.3 oz/ 10 mL Spray Eau de Parfum']","['Inspired by an English gentlemen’s club, redolent with spice, this reinvention of a classic fragrance genre fuses creamy tonka bean, vanilla, cocoa, dry fruit accords, and sweet wood sap for a modern, opulent, and almost heady impression.\n', '\n', 'Notes:', '\n', 'Tobacco Leaf, Ginger, Spice Notes, Tonka Bean, Cocoa, Fruit Accord.\n', 'Style:', '\n', 'Opulent. Warm. Iconic.\n', '\n', '*Musk effect is created from a synthetic source.\n', 'Have questions about this TOM FORD product? Give Sephora’s Beauty Advisors a call at 855-557-6845 or send us an email at TomFord@sephora.com  to get personalized advice on how to use this product or assistance with any Tom Ford product']",True,/productimages/sku/s1449289-main-Lhero.jpg,https://www.sephora.com/product/tobacco-vanille-P393151?icid2=products,s1449289-main-Lhero.jpg,"(201, 158, 70)"
"['CHANEL', 'BLEU DE CHANEL Eau de Parfum']","['ITEM ', '1695972']","[['5 stars', '78', '4 stars', '3', '3 stars', '0', '2 stars', '0', '1 star', '0']]","[['81 reviews'], ['8317', ' loves']]",['$95.00'],['1.7 oz Eau de Parfum Spray'],"['Standard size', '1.7 oz Eau de Parfum Spray', '3.4 oz Eau de Parfum Spray', '5 oz Eau de Parfum Spray']","['Fragrance Family:', ' Earthy & Woody', 'Scent Type:', ' Warm Woods', 'Key Notes:', ' Citrus Accord, Labdanum, Sandalwood Cedar', 'About:', ' Unexpected and undeniably bold. Fresh, clean, and profoundly sensual, this woody, aromatic fragrance reveals the spirit of a man who chooses his own destiny with independence and determination—a man who defies convention.', 'A fresh citrus accord is immediately followed by ambery dry cedar notes. Woods are amplified by tonka bean and vanilla for heightened sensuality. New Caledonian sandalwood unfolds at the base for greater depth.', 'Housed in an enigmatic blue bottle, the eau de parfum comes in a spray for easy application.']",True,/productimages/sku/s1695972-main-Lhero.jpg,https://www.sephora.com/product/bleu-de-chanel-eau-de-parfum-P394949?icid2=products,s1695972-main-Lhero.jpg,"(59, 64, 70)"
"['Dior', 'Sauvage Eau de Toilette']","['ITEM ', '1739317']","[['5 stars', '248', '4 stars', '22', '3 stars', '5', '2 stars', '2', '1 star', '9']]","[['286 reviews'], ['10K', ' loves']]",['$77.00'],['2 oz/ 60 mL Eau de Toilette Spray'],"['Standard size', '2 oz/ 60 mL Eau de Toilette Spray', '3.4 oz/ 100 mL Eau de Toilette Spray', '6.7 oz/ 200 mL Eau de Toilette Spray']","['Sauvage is a radically fresh composition that is raw and noble all at once. Natural ingredients prevail as radiant top notes burst with the juicy freshness of Reggio di Calabria bergamot. Ambroxan, derived from precious ambergris, unleashes a powerfully woody trail.\n', '\n', '""To create Sauvage, I used man as my starting point. A strong and unmistakable masculinity. Like the image of a man who transcends time and fashion.""—François Demachy, Dior Perfumer\n', '\n', 'Notes:', '\n', 'Reggio Bergamot, Sichuan Pepper, Ambroxan.\n ', 'Style:', '\n', 'Raw. Noble.\n', 'This product is an ', 'Allure', ' Best of Beauty award winner.']",True,/productimages/sku/s1739317-main-Lhero.jpg,https://www.sephora.com/product/sauvage-P400057?icid2=products,s1739317-main-Lhero.jpg,"(56, 59, 65)"
"['MAISON MARGIELA', '’REPLICA’ By The Fireplace']","['ITEM ', '1788058']","[['5 stars', '326', '4 stars', '46', '3 stars', '19', '2 stars', '14', '1 star', '38']]","[['443 reviews'], ['10K', ' loves']]",['$126.00'],['3.4 oz/ 100 mL Eau de Toilette Spray'],"['Standard size', '3.4 oz/ 100 mL Eau de Toilette Spray', 'Mini size', '0.34 oz/ 10 mL Eau de Toilette Travel Spray']","['Fragrance Family:', ' Warm & Spicy\n', 'Scent Type:', ' Warm & Sweet Gourmands \n', 'Key Notes:', 'Clove Oil, Chestnut Accord, Vanilla Accord  \n', 'About:', 'By the Fireplace is a warm and spicy fragrance that evokes the comforting sensation of a crackling fireplace beside a frosted winter landscape with enveloping notes of clove, chestnut, and vanilla accord.\n', ' Day breaks and the brightness of newly fallen snow paint a shivery winter landscape beside frosted windowpanes. Inside, flames from a crackling fireplace toast dry woods and chestnut, casting a soft and warm sensation. Enveloping notes of clove and vanilla create an addictive wake of aromas. \n', 'By the Fireplace is a warm and sweet gourmand fragrance that gives off the impression of comfort and sensuality. Full and rich in depth, this long-lasting Eau de Toilette fragrance resides within the REPLICA Memories Collection—a family of scents designed to evoke personal memories that each one of us can recall.\n', 'What else you need to know:', 'Using the bottle’s convenient no-cap pump, spray fragrance onto pulse points. To wardrobe your fragrance, layer REPLICA Filter Blur convey a softer fantasy. Take your fragrance from day to night by layering REPLICA Filter Glow to brighten and accentuate your fragrance.\n', 'The silhouette of each REPLICA bottle is inspired by classic apothecary jars, allowing the collection to be instantly identifiable. Each bottle carries a 100 percent cotton label, which is printed using black ink text and resembles the tags used on the clothing and accessories for the REPLICA couture collection. The unique pumps are wrapped with a rope to symbolize the authentic reproduction of the original REPLICA couture line. The same label concept is carried onto the packaging of each fragrance. Each carton label is associated with a Polaroid photograph; a fleeting moment captured in muted colors and soft light—a poetic allusion to the story behind each fragrance.\n  \n\n']",True,/productimages/sku/s1788058-main-Lhero.jpg,https://www.sephora.com/product/replica-by-fireplace-P404758?icid2=products,s1788058-main-Lhero.jpg,"(230, 224, 216)"
"['TOM FORD', 'Oud Wood ']","['ITEM ', '1565928']","[['5 stars', '36', '4 stars', '10', '3 stars', '3', '2 stars', '3', '1 star', '3']]","[['55 reviews'], ['7320', ' loves']]",['$605.00'],['8.4 oz/ 248 mL Eau de Parfum Decanter'],"['Standard size', '1.7 oz/ 50 mL Eau de Parfum Spray', '3.4 oz/ 100 mL Eau de Parfum Spray', '8.4 oz/ 248 mL Eau de Parfum Decanter', '1 oz/ 30 mL Eau de Parfum Spray', 'Mini size', '0.3 oz/ 10 mL Spray Eau de Parfum']","['Oud wood is one of the most rare, precious, and expensive ingredients in a perfumer’s arsenal. Exotic rosewood and cardamom give way to a smoky blend of rare oud wood, sandalwood, and vetiver. Tonka bean and amber add warmth and sensuality.\n', '\n', 'Notes:', '\n', 'Rare Oud Wood, Sandalwood, Chinese Pepper, Rosewood, Tonka Bean, Vanilla.\n ', 'Style:', '\n', 'Rare. Exotic. Distinctive.\n', 'Have questions about this TOM FORD product? Give Sephora’s Beauty Advisors a call at 855-557-6845 or send us an email at TomFord@sephora.com  to get personalized advice on how to use this product or assistance with any Tom Ford product']",True,/productimages/sku/s1565928-main-Lhero.jpg,https://www.sephora.com/product/oud-wood-P393167?icid2=products,s1565928-main-Lhero.jpg,"(115, 112, 102)"
"['Jo Malone London', 'Wood Sage & Sea Salt Cologne']","['ITEM ', '1946656']","[['5 stars', '73', '4 stars', '24', '3 stars', '16', '2 stars', '10', '1 star', '5']]","[['128 reviews'], ['10K', ' loves']]",['$136.00'],['3.4 oz/ 100 mL  Spray'],"['Standard size', '1.0 oz/ 30 mL  Spray', '3.4 oz/ 100 mL  Spray']","['Fragrance Family:', ' Fresh', 'Scent Type:', ' Fresh Aquatics', 'Key Notes:', ' Ambrette Seeds, Sea Salt, Sage', 'About:', ' Escape the everyday along the windswept shore where white waves break and the air is fresh with sea salt and spray. Alive with the mineral scent of the rugged cliffs mingled with the woody earthiness of sage, this fragrance is lively, spirited, and totally joyful.', 'What else you need to know:', 'From colognes and candles to bath and body care, each Jo Malone London product comes presented in their signature gift box and ribbon.']",True,/productimages/sku/s1946656-main-Lhero.jpg,https://www.sephora.com/product/wood-sage-sea-salt-cologne-P417179?skuId=1946656&icid2=products,s1946656-main-Lhero.jpg,"(225, 224, 221)"
"['Giorgio Armani Beauty', 'Acqua Di Gio Pour Homme']","['ITEM ', '397299']","[['5 stars', '575', '4 stars', '53', '3 stars', '8', '2 stars', '2', '1 star', '11']]","[['648 reviews'], ['10K', ' loves']]",['$85.00'],['3.4 oz/ 100 mL Eau de Toilette Spray'],"['Standard size', '1.7 oz/ 50 mL Eau de Toilette Spray', '3.4 oz/ 100 mL Eau de Toilette Spray', '10.2 oz/ 300 mL Eau de Toilette Spray', 'Value size', '6.7 oz/ 198 mL Eau de Toilette Spray']","['A resolutely masculine fragrance born from the sea, the sun, the earth, and the breeze of a Mediterranean island. Transparent, aromatic, and woody in nature Aqua Di Gio Pour Homme is a contemporary expression of masculinity, in an aura of marine notes, fruits, herbs, and woods.\n', '\n', 'Giorgio Armani Acqua Di Gio Pour Homme is an ', 'Allure', ' Best of Beauty Award Winner.\n', '\n', 'Notes:', '\n', 'Marine Notes, Mandarin, Bergamot, Neroli, Persimmon, Rosemary, Nasturtium, Jasmine, Amber, Patchouli, Cistus.\n', 'Style:', '\n', 'Transparent. Modern. Masculine.\n\n']",True,/productimages/sku/s397299-main-Lhero.jpg,https://www.sephora.com/product/acqua-di-gio-pour-homme-P12430?icid2=products,s397299-main-Lhero.jpg,"(225, 226, 214)"
"['CHANEL', 'BLEU DE CHANEL Eau de Toilette']","['ITEM ', '1284710']","[['5 stars', '48', '4 stars', '3', '3 stars', '2', '2 stars', '0', '1 star', '0']]","[['53 reviews'], ['7520', ' loves']]",['$75.00'],['1.7 oz Eau de Toilette Spray'],"['Standard size', '1.7 oz Eau de Toilette Spray', '3.4 oz Eau de Toilette Spray', 'Value size', '5 oz Eau de Toilette Spray']","['Fragrance Family:', ' Earthy & Woody', 'Scent Type:', ' Warm Woods', 'Key Notes:', ' Citrus Accord, Labdanum, Sandalwood Cedar', 'About:', ' A woody, aromatic fragrance for the man who defies convention. A provocative blend of citrus and woods that liberates the senses. Fresh, clean, and profoundly sensual.', 'BLEU DE CHANEL unites the invigorating zest of grapefruit and the power of an aromatic accord with the woody whisper of dry cedar. New Caledonian sandalwood lends it a warm and sensual trail. A meeting of strength and elegance.', 'The lighter, relaxed eau de toilette comes in a spray for generous application.']",True,/productimages/sku/s1284710-main-Lhero.jpg,https://www.sephora.com/product/bleu-de-chanel-P270302?icid2=products,s1284710-main-Lhero.jpg,"(40, 45, 51)"
"['Versace', 'Eros']","['ITEM ', '1558857']","[['5 stars', '217', '4 stars', '21', '3 stars', '7', '2 stars', '3', '1 star', '3']]","[['251 reviews'], ['10K', ' loves']]","['$118.00', <div class=""css-9fv2tr"" comps=""[object Object]"" data-comp=""Box"">($172.00 value)</div>]",['6.7 oz/ 200 mL Eau de Toilette Spray'],"['Standard size', '1.7 oz/ 50 mL Eau de Toilette  Spray', '3.4 oz/ 100 mL Eau de Toilette Spray', 'Mini size', '0.3 oz/ 10 mL Eau de Toilette Spray', 'Value size', '6.7 oz/ 200 mL Eau de Toilette Spray']","['Love, passion, beauty, and desire are the key concepts behind the new men’s fragrance by Versace. As Greek mythology and classic sculpture have characterized the Versace world since the beginning, so the perfection of the male body is evoked with an allusion to Eros, the god of love. Versace Eros is a fragrance for a strong, passionate man, who is master of himself. \n', '\nEros interprets the sublime masculine through a luminous aura with an intense, vibrant, and glowing combination of fresh mint leaves, Italian lemon zest, and green apple. An addictive sensuality accented by oriental, intriguing, and enveloping notes like tonka beans, amrboxan amber, geranium flower, and vanilla melds with a racy virility symbolized by woods—such as cedarwood from Atlas and Virginia—while vetiver and oak moss provide intensity and power.\n\n', 'Notes:', '\nMint Oil, Italian Lemon, Green Apple, Tonka Bean, Geranium Flower, Vanilla, Vetiver, Moss, Cedarwood.\n', 'Style:', '\nPassionate. Sexy. Strong.\n']",True,/productimages/sku/s1558857-main-Lhero.jpg,https://www.sephora.com/product/eros-P382751?skuId=1558857&icid2=products,s1558857-main-Lhero.jpg,"(15, 68, 76)"
"['Dior', 'Sauvage Eau de Parfum']","['ITEM ', '2038123']","[['5 stars', '13', '4 stars', '0', '3 stars', '2', '2 stars', '1', '1 star', '0']]","[['16 reviews'], ['1552', ' loves']]",['$92.00'],['2.0 oz/ 60 mL Eau de Parfum Spray'],"['Standard size', '2.0 oz/ 60 mL Eau de Parfum Spray', '3.4 oz/ 100 mL Eau de Parfum Spray']","['Fragrance Family:', ' Earthy & Woody', 'Scent Type:', ' Citrus & Woods', 'Key Notes:', ' Bergamot, Amber, Vanilla', 'About:', ' The powerful freshness of Sauvage exudes new sensual and mysterious facets, amply renewing its signature with an ingenious composition. Calabrian bergamot, as juicy and spirited as ever, invites new spicy notes to add fullness and sensuality, as the woody, ambery trail of Ambroxan® is wrapped in smoky accents of Papua New Guinean vanilla absolute for greater virility. François Demachy, Dior Perfumer-Creator, drew inspiration from the desert in the magical hour of twilight. Mixed with the coolness of the night, the burning desert air exudes profound scents. In the hour when nature awakes and the sky is set ablaze, a new magic unfolds. ', 'What else you need to know:', ' ""I didn\'t create Eau de Parfum Sauvage by working on power. Its signature is already very identifiable. It was not a matter of exaggerating or saturating the composition. I was striving more to enrich each of the dominant notes to give it a new color.""—François Demachy, Dior Perfumer-Creator']",True,/productimages/sku/s2038123-main-Lhero.jpg,https://www.sephora.com/product/sauvage-eau-de-parfum-P428500?icid2=products,s2038123-main-Lhero.jpg,"(34, 38, 50)"
