brand_info,item_no_or_size,ratings,feedback,price,oz_at_price,options,fragrance_info,limited_edition,image_url,url,image_filename,dominant_color
"['Viktor&Rolf', 'Flowerbomb']","['ITEM ', '1377159']","[['5 stars', '3183', '4 stars', '483', '3 stars', '140', '2 stars', '102', '1 star', '132']]","[['4K reviews'], ['110K', ' loves']]",['$165.00'],['3.4 oz/ 100 mL Eau de Parfum Spray'],"['Standard size', '1 oz/ 30 mL Eau de Parfum Spray', '1.7 oz/ 50 mL Eau de Parfum Spray', '3.4 oz/ 100 mL Eau de Parfum Spray', 'Mini size', '0.33 oz/ 10 mL Eau de Parfum Rollerball', '0.68 oz/ 20 mL Eau de Parfum Spray', 'Value size', '5 oz/ 148 mL Eau de Parfum Spray']","['Fragrance Family:', ' Warm & Spicy', 'Scent Type:', ' Warm & Sweet Gourmands', 'Key Notes:', ' Jasmine, Orange Blossom, Patchouli', 'About:', ' An explosion of flowers, Flowerbomb opens with subtle traces of bergamot and mandarin, leading to a heart of an exquisite floral explosion, comprised of sambac jasmine, freesia, centifolia rose, and osmanthus. Deep amber, woody, and patchouli notes combine with warm vanilla and praline notes to complete a truly addictive fragrance. Wear it for a night out on the town with the girls, a romantic dinner, a spontaneous adventure with no definite destination. Flowerbomb ensures you’ll leave a trail of allure wherever you go.  ', 'For Flowerbomb, Viktor & Rolf dreamed up a theatrical bottle, elegantly faceted like a pink diamond. The hardness of diamond and the strength of the fragrance within to turn any negative into a positive—combined with the femininity of pink—was their inspiration. ', 'What else you need to know:', ' ""Fashion is a dream…Fragrance is a dream in a bottle""—Viktor & Rolf', 'Flowerbomb is an ', 'Allure', ' Best of Beauty award winner.']",True,/productimages/sku/s1377159-main-Lhero.jpg,https://www.sephora.com/product/flowerbomb-P255506?icid2=products,s1377159-main-Lhero.jpg,"(232, 212, 208)"
"['CHANEL', 'COCO MADEMOISELLE Eau de Parfum']","['ITEM ', '513168']","[['5 stars', '381', '4 stars', '16', '3 stars', '5', '2 stars', '12', '1 star', '8']]","[['422 reviews'], ['70K', ' loves']]",['$100.00'],['1.7 oz/ 50 mL Eau de Parfum Spray'],"['Standard size', '1.2 oz/ 35 mL Eau de Parfum Spray', '1.7 oz/ 50 mL Eau de Parfum Spray', '3.4 oz/ 100 mL Eau de Parfum Spray']","['Sexy, fresh Oriental fragrance recalls the irrepressible spirit of the young Coco Chanel. An elegant, luxurious spray closest in strength and character to the parfum form. Spray lightly on pulse points morning and evening. The classic bottle signifies personal luxury and is a welcome addition to any dressing table.', 'Available in a 1.2 oz. size, presented in a sleek flacon. The Classic Bottle (shown above) is not available in this size.']",True,/productimages/sku/s513168-main-Lhero.jpg,https://www.sephora.com/product/coco-mademoiselle-P12495?icid2=products,s513168-main-Lhero.jpg,"(244, 226, 216)"
"['Yves Saint Laurent', 'Black Opium']","['ITEM ', '1698182']","[['5 stars', '2764', '4 stars', '578', '3 stars', '114', '2 stars', '54', '1 star', '51']]","[['2K reviews'], ['70K', ' loves']]",['$94.00'],"[<span class=""css-blx10h"" comps=""[object Object]"" data-comp=""Text"">only a few left - </span>, '1.6 oz/ 50 mL Eau de Parfum Spray']","['Standard size', '1 oz/ 30 mL Eau de Parfum Spray', '1.6 oz/ 50 mL Eau de Parfum Spray', '3 oz/ 90 mL Eau de Parfum Spray', '5 oz/ 150 mL Eau de Parfum Spray', 'Mini size', '0.084 oz/2.5 mL Eau de Parfum Travel Size']","['Fragrance Family:', 'Warm & Spicy', 'Scent Type:', 'Warm & Sweet Gourmands', 'Key Notes:', 'Black Coffee, White Flowers, and Vanilla', 'About:', 'Black Opium is the highly addictive feminine fragrance from Yves Saint Laurent. Fascinating and seductively intoxicating, the opening notes of adrenaline-rich coffee and the sweet sensuality of vanilla recline into the softness of white flowers for a modern, young, and vibrant interpretation of addiction. Get your dose.', 'What else you need to know:', 'This product is an ', 'Allure', ' Best of Beauty award winner.']",True,/productimages/sku/s1698182-main-Lhero.jpg,https://www.sephora.com/product/black-opium-P394534?icid2=products,s1698182-main-Lhero.jpg,"(61, 60, 60)"
"['CHANEL', 'CHANCE EAU TENDRE Eau de Toilette']","['ITEM ', '1237379']","[['5 stars', '266', '4 stars', '21', '3 stars', '5', '2 stars', '6', '1 star', '7']]","[['305 reviews'], ['40K', ' loves']]",['$80.00'],['1.7 oz Eau de Toilette Spray'],"['Standard size', '1.2 oz Eau de Toilette Spray', '1.7 oz Eau de Toilette Spray', '3.4 oz Eau de Toilette Spray']","['Fragrance Family:', ' Fresh', 'Scent Type:', ' Fresh Fruity Florals', 'Key Notes:', ' Citron, Jasmine, Teakwood', 'About:', ' A youthful, romantic expression of CHANCE—a constellation of tender and vibrant notes, at once delicate and airy, with an intoxicatingly light, fruity trail.', 'CHANCE EAU TENDRE is presented in a spray form that allows for more generous use on skin or clothing.']",True,/productimages/sku/s1237379-main-Lhero.jpg,https://www.sephora.com/product/chance-eau-tendre-P258612?icid2=products,s1237379-main-Lhero.jpg,"(247, 243, 245)"
"['TOM FORD', 'Tobacco Vanille']","['ITEM ', '1449289']","[['5 stars', '62', '4 stars', '8', '3 stars', '8', '2 stars', '2', '1 star', '2']]","[['82 reviews'], ['10K', ' loves']]",['$235.00'],['1.7 oz/ 50 mL Eau de Parfum '],"['Standard size', '1.0 oz/ 30 mL Eau de Parfum Spray', '1.7 oz/ 50 mL Eau de Parfum ', '3.4 oz/ 100 mL Eau de Parfum ', '8.4 oz/ 248 mL Eau de Parfum Decanter', 'Mini size', '0.3 oz/ 10 mL Spray Eau de Parfum']","['Inspired by an English gentlemen’s club, redolent with spice, this reinvention of a classic fragrance genre fuses creamy tonka bean, vanilla, cocoa, dry fruit accords, and sweet wood sap for a modern, opulent, and almost heady impression.\n', '\n', 'Notes:', '\n', 'Tobacco Leaf, Ginger, Spice Notes, Tonka Bean, Cocoa, Fruit Accord.\n', 'Style:', '\n', 'Opulent. Warm. Iconic.\n', '\n', '*Musk effect is created from a synthetic source.\n', 'Have questions about this TOM FORD product? Give Sephora’s Beauty Advisors a call at 855-557-6845 or send us an email at TomFord@sephora.com  to get personalized advice on how to use this product or assistance with any Tom Ford product']",True,/productimages/sku/s1449289-main-Lhero.jpg,https://www.sephora.com/product/tobacco-vanille-P393151?icid2=products,s1449289-main-Lhero.jpg,"(201, 158, 70)"
"['Carolina Herrera', 'GOOD GIRL']","['ITEM ', '1960707']","[['5 stars', '109', '4 stars', '17', '3 stars', '3', '2 stars', '7', '1 star', '3']]","[['139 reviews'], ['10K', ' loves']]",['$94.00'],['1.7 oz/ 50 mL Eau de Parfum Spray'],"['Standard size', '1.0 oz/ 30 mL Eau de Parfum Spray', '1.7 oz/ 50 mL Eau de Parfum Spray', '2.7 oz/ 80 mL Eau de Parfum Spray', 'Mini size', '0.30 oz/ 10 mL Eau de Parfum Rollerball']","['Fragrance Family:', ' Floral', 'Scent Type:', ' Warm Florals', 'Key Notes:', ' Tuberose, Jasmine, Tonka Bean', 'About:', ' Black and white… good girl, bad girl. GOOD GIRL is a sensual, evocative fragrance born of the beautiful contradictions and the ever-present duality of modern women and modern life.  Both freshly light and moodily dark, this innovative fragrance captures a woman’s wondrous complexity with surprising and exceptional ingredients. The sweet, alluring qualities of jasmine give GOOD GIRL its brightness and femininity. The darker side is created with richly fragrant cocoa and intoxicating tonka. Almond and coffee bring the scent its immediate vibrancy. Tuberose, extracted in a new way that creates a rich delicacy, is the fragrance’s wild card, bringing fluidity and femininity. GOOD GIRL exemplifies the effortless elegance and wit of the House of Herrera.', 'The ground-breaking bottle, the first in the form of a high heel, speaks as eloquently of the power of modern femininity and a woman’s dual nature as the fragrance itself. Made of sleek, smoky, midnight blue glass, it stands on the tallest, thinnest gold heel. ', '""Give a girl the right shoe and she can conquer the world.""—Carolina Herrera de Báez, Brand Founder']",True,/productimages/sku/s1960707-main-Lhero.jpg,https://www.sephora.com/product/good-girl-P420533?icid2=products,s1960707-main-Lhero.jpg,"(32, 39, 52)"
"['Jo Malone London', 'Honeysuckle & Davana Cologne']","['ITEM ', '2098887']","[['5 stars', '10', '4 stars', '1', '3 stars', '3', '2 stars', '1', '1 star', '5']]","[['14 reviews'], ['2532', ' loves']]",['$136.00'],['3.4 oz/ 100 mL Eau de Parfum Spray'],"['Standard size', '1 oz/ 30 mL Eau de Parfum Spray', '3.4 oz/ 100 mL Eau de Parfum Spray']","['Fragrance Family:', ' Floral', 'Scent Type:', ' Warm Floral', 'Key Notes:', ' Davana, Honeysuckle, Moss', 'About:', ' Like the wildness of honeysuckle, winding through the English countryside—climbing, twisting, and ever more alluring after dark, this fragrance is fresh with rose and the aromatic, fruity twist of davana. Woody with moss and warmed by sunshine, it offers an enveloping and sensual experience.', 'What else you need to know:', 'From colognes and candles to bath and body care, each Jo Malone London product comes presented in their signature gift box and ribbon.']",True,/productimages/sku/s2098887-main-Lhero.jpg,https://www.sephora.com/product/honeysuckle-davana-cologne-P435343?icid2=products,s2098887-main-Lhero.jpg,"(239, 234, 223)"
"['Juliette Has a Gun', 'Not A Perfume']","['ITEM ', '1703321']","[['5 stars', '244', '4 stars', '43', '3 stars', '20', '2 stars', '18', '1 star', '32']]","[['356 reviews'], ['10K', ' loves']]",['$135.00'],['3.3 oz/ 100 mL Eau de Parfum Spray'],"['Standard size', '1.7 oz/ 50 mL Eau de Parfum Spray', '3.3 oz/ 100 mL Eau de Parfum Spray', 'Mini size', '0.25 oz/ 7.5 mL Eau de Parfum Spray']","['Fragrance Family:', ' Woody & Earthy', 'Scent Type:', ' Warm Woods', 'Key Notes:', ' Cetalox (Synthetic Ambergris)', 'About:', ' This minimalist, fresh, and clean fragrance is hypoallergenic and ideal for those who don’t normally wear perfume. It is composed of a single note, called cetalox, which is usually used in perfumery as a base note. Here it plays the lead role for a fragrance that will easily satisfy the most difficult tastes, and particularly those preferring discretion over complexity.', 'What else you need to know:', '""This time, I have created a perfume out of this one ingredient. A perfume that won’t be one, in the conventional sense of the word.""—Romano Ricci, Brand Founder and Perfumer']",True,/productimages/sku/s1703321-main-Lhero.jpg,https://www.sephora.com/product/not-perfume-P395313?icid2=products,s1703321-main-Lhero.jpg,"(219, 218, 218)"
"['DOLCE&GABBANA', 'Light Blue']","['ITEM ', '563320']","[['5 stars', '2060', '4 stars', '371', '3 stars', '119', '2 stars', '63', '1 star', '78']]","[['2K reviews'], ['60K', ' loves']]",['$78.00'],['1.6 oz/ 50 mL Eau de Toilette Spray'],"['Standard size', '1.6 oz/ 50 mL Eau de Toilette Spray', '3.3 oz/ 100 mL Eau de Toilette Spray', 'Mini size', '0.25 oz/ 7.5 mL Eau de Toilette Rollerball', '0.8 oz/ 25 mL Eau de Toilette Spray', 'Value size', '6.7 oz / 200 mL Eau de Toilette ']","['A stunning perfume, overwhelming and irresistible like the joy of living. The scent is surprisingly colored with the liveliness of Sicilian citron, the happiness of Granny Smith apple, and the spontaneity of bluebells. Feminine and resolute notes are expressed with the intensity of jasmine, the freshness of bamboo, and the charm of white rose. The deep and true base embodies the character of cedarwood, the fullness of amber, and the embrace of musk.', 'Notes:', 'Sicilian Citron, Bluebell, Granny Smith Apple, Jasmine Sambac, Bamboo, White Rose, Cedarwood, Amber, Musk.', 'Style:', 'Deep and true.']",True,/productimages/sku/s563320-main-Lhero.jpg,https://www.sephora.com/product/light-blue-P12420?icid2=products,s563320-main-Lhero.jpg,"(202, 205, 203)"
"['Yves Saint Laurent', 'Mon Paris Eau de Parfum']","['ITEM ', '1838861']","[['5 stars', '375', '4 stars', '49', '3 stars', '24', '2 stars', '11', '1 star', '14']]","[['473 reviews'], ['20K', ' loves']]",['$94.00'],['1.6 oz/ 47 mL Eau de Parfum Spray'],"['Standard size', '1 oz Eau de Parfum Spray', '1.6 oz/ 47 mL Eau de Parfum Spray', '3.04 oz/ 90 mL Eau de Parfum Spray', 'Mini size', '0.34 oz/ 10 mL Eau de Parfum Rollerball']","['Yves Saint Laurent introduces a new sparkling fragrance inspired by Paris, the city of intense love. Red berries and pear immediately exude sensuality and femininity. The exotic white datura flower, the soul of the fragrance, embodies desire and seduces the senses. Finally, this modern and daring floral scent is balanced by creamy white musks and patchouli. The experience is a passionate and unforgettable whirlwind journey to Paris.  ', 'Notes:', ' Strawberry, Raspberry, Bergamot, Calone, Pear, Orange Flower, Jasmin Sambac, White Peony, Datura, Patchouli, White Musk, Ambrox, Cedarwood, Crystal Moss.', 'Style:', 'Passionate. Sensual. Sophisticated.', 'What else you need to know:', '\n', 'This product is an ', 'Allure', ' Best of Beauty award winner.\n']",True,/productimages/sku/s1838861-main-Lhero.jpg,https://www.sephora.com/product/mon-paris-eau-de-parfum-P410181?icid2=products,s1838861-main-Lhero.jpg,"(32, 30, 31)"
